category,filename,source,md5,score,laplacian,bright_ratio,skin_ratio,dhash,method,issues
01-Coastal-Scenery,kaikoura-coastal-seals-mountains-01.jpg,photo-library/kaikoura-coastal-seals-mountains-01.jpg,c9327daecb61251e164cf393f131dca8,544.17,6513.6,0.048,0.049,000000000111000000000010100001100100000001000000000000000000001001100100000000100011001001011100010101001000000100100010111010101010101001010010,exact,
01-Coastal-Scenery,kaikkoura-coast16.JPG,desktop-kaikoura/kaikkoura-coast16.JPG,ab3268ac7987b89aec4a160dd36bbafd,159.23,706.8,0.047,0.599,011111100000001101000000001110110000101100101000101110000000111111001111101000011100101110001110101101101111101101110011010111001111001010011110,folder-coast,
01-Coastal-Scenery,lake-tekapo16.jpeg,desktop-kaikoura/lake-tekapo16.jpeg,df2b2beb18a88cc827f1d98f8686381a,102.01,598.0,0.263,0.023,011100000000000010000110100000011110101011010010001010100110101011000111000010010110001010010100000011000100001001000001001000000100001001000110,default-coastal,
01-Coastal-Scenery,kaikoura2.jpg,site-kaikoura/kaikoura2.jpg,380dc7f39663731d7c71c274bd129990,99.45,1080.0,0.041,0.002,111000000011011100100001011111000011001111100111101111111100101101110010011001110011011101011110111000110111110011001001100011000110100110100011,exact,
01-Coastal-Scenery,kaikoura1.jpg,site-kaikoura/kaikoura1.jpg,1c90ceb1a6d7879ef3db6af6dddc7e30,98.53,1119.0,0.075,0.020,100111100000100111100000000010100010101000001100010000001100100000101000111000101011010000001011000100111110101001101000101011100110101111001100,exact,
01-Coastal-Scenery,lake-tekapo14_2.JPG,desktop-kaikoura/lake-tekapo14_2.JPG,5f80ff37218fa28551b0ceb59ddae1b1,83.99,273.9,0.302,0.157,010110011000011000000001010000000110000000000010000000000000000000011000000010011100001100011000111000011001111010111011110000101000000100000011,default-coastal,
01-Coastal-Scenery,kaikkoura-coast13.JPG,desktop-kaikoura/kaikkoura-coast13.JPG,383612afe6ddb756b5103d7f9c6b151e,83.77,321.5,0.020,0.102,000001011010000101110100011110011110110010110111010011011110100101110111010110010001000000111101000010111001100001110001000000111001000000011001,folder-coast,
01-Coastal-Scenery,IMG_7517.JPG,desktop-kaikoura/IMG_7517.JPG,f56e66e4dc96aaf8d6e56cdd207dab97,65.30,114.8,0.036,0.017,001000000001000000000000000000000000000010001111010010000001000000100000000010000000000010100000000001000010010001100001011111000000000010110000,default-coastal,
01-Coastal-Scenery,kaikkoura-coast11.JPG,desktop-kaikoura/kaikkoura-coast11.JPG,489d97c6c500e73835a6335b0b30d58a,63.33,55.6,0.013,0.020,000000000000000000000000000000000000110000001000000000000010100110100110110000111010101100100010101000110011010100110010001000100010010100110010,folder-coast,
01-Coastal-Scenery,IMG_5847.JPG,desktop-kaikoura/IMG_5847.JPG,506f2742d9c2799a0130cb820dbc620c,58.88,94.4,0.068,0.056,000011111000001010001000001010000000001011100010100011000110000011001010010011101110110001100111010010110110010000111010110010011010110011001101,default-coastal,
01-Coastal-Scenery,lake-tekapo18.JPG,desktop-kaikoura/lake-tekapo18.JPG,ff1af4e43886299a1877362b0a6dbb3d,47.80,38.4,0.098,0.135,100101100000100101100100001011100100000011001011000111101001011011001101001111101100101011101100000111001100000111101110000011000110000100001100,default-coastal,blurred
